Car_id,Date,Customer Name,Gender,Annual Income,Dealer_Name,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No ,Body Style,Phone,Dealer_Region
C_CND_000037,44564,Hannah,Male,13500,Enterprise Rent A Car,Mercury,Mountaineer,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,21000,60504-7114,SUV,6125796,Aurora
C_CND_000038,44564,Haylee,Male,13500,Gartner Buick Hyundai Saab,Buick,Park Avenue,DoubleÃ‚Â Overhead Camshaft,Auto,Black,61000,38701-8047,Hatchback,7438037,Greenville
C_CND_000039,44564,Hayley,Male,941000,Hatfield Volkswagen,Mitsubishi,Montero Sport,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,39000,99301-3882,SUV,6837588,Pasco
C_CND_000040,44564,Harry,Female,13500,Star Enterprises Inc,Nissan,Sentra,DoubleÃ‚Â Overhead Camshaft,Auto,Black,16000,99301-3882,Passenger,7213857,Pasco
C_CND_000041,44564,Henry,Male,13500,Suburban Ford,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26000,53546-9427,Sedan,7704004,Janesville
C_CND_000042,44564,Hersh,Female,13500,Tri-State Mack Inc,Volvo,S80,Overhead Camshaft,Manual,Pale White,21000,85257-3102,Sedan,8018700,Scottsdale
C_CND_000043,44564,Hershel,Male,967500,U-Haul CO,Chevrolet,Lumina,Overhead Camshaft,Manual,Black,42500,78758-7841,Passenger,6793858,Austin
C_CND_000044,44564,Aicha,Male,600000,Diehl Motor CO Inc,Mitsubishi,Montero Sport,DoubleÃ‚Â Overhead Camshaft,Auto,Black,45001,06457-3834,Hatchback,6739543,Middletown
C_CND_000045,44564,Aisha,Male,575000,Enterprise Rent A Car,Pontiac,Bonneville,Overhead Camshaft,Manual,Black,36001,60504-7114,Hatchback,6091237,Aurora
C_CND_000046,44564,Aissatou,Male,566000,Gartner Buick Hyundai Saab,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,38701-8047,Hatchback,6547535,Greenville
C_CND_000047,44564,Alana,Male,1250000,Hatfield Volkswagen,BMW,323i,Overhead Camshaft,Manual,Pale White,21001,99301-3882,Hatchback,8689761,Pasco
C_CND_000048,44564,Chloe,Male,730000,Rabun Used Car Sales,Acura,TL,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,29000,85257-3102,Hatchback,6404807,Scottsdale
C_CND_000049,44564,Valentine,Male,4060000,Race Car Help,Nissan,Altima,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,20000,78758-7841,Hatchback,7117432,Austin
C_CND_000050,44564,Aurore,Male,13500,Ryder Truck Rental and Leasing,Cadillac,DeVille,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,22000,06457-3834,SUV,7836930,Middletown
C_CND_000051,44564,Nikita,Male,1180000,Saab-Belle Dodge,Dodge,Stratus,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,31000,60504-7114,Hatchback,7316398,Aurora
C_CND_000052,44564,Justine,Male,1360000,Progressive Shippers Cooperative Association No,Audi,A4,DoubleÃ‚Â Overhead Camshaft,Auto,Black,27000,53546-9427,Hardtop,7680267,Austin
C_CND_000053,44564,Sylvia,Female,640000,C & M Motors Inc,Mercury,Cougar,DoubleÃ‚Â Overhead Camshaft,Auto,Black,33000,60504-7114,Hatchback,6402878,Scottsdale
C_CND_000054,44564,Chloe,Male,615000,Scrivener Performance Engineering,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,14000,38701-8047,Hardtop,7890478,Middletown
C_CND_000055,44564,Tamar,Male,520000,Chrysler of Tri-Cities,Acura,RL,Overhead Camshaft,Manual,Pale White,17000,99301-3882,SUV,8523869,Middletown
C_CND_000056,44565,Hazel,Male,1876000,Iceberg Rentals,Saturn,SW,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,25600,53546-9427,Passenger,8852693,Janesville
C_CND_000057,44565,Heaven,Male,13500,McKinney Dodge Chrysler Jeep,Volvo,C70,Overhead Camshaft,Manual,Black,17000,85257-3102,Hatchback,6444851,Scottsdale
C_CND_000058,44565,Heidi,Male,13500,Motor Vehicle Branch Office,Mercury,Mountaineer,Overhead Camshaft,Manual,Pale White,21000,78758-7841,SUV,6052630,Austin
C_CND_000059,44565,Hershy,Male,890000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,06457-3834,Hatchback,8939776,Middletown
C_CND_000060,44565,Hudson,Male,1800000,C & M Motors Inc,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,17000,60504-7114,Passenger,7177888,Aurora
C_CND_000061,44565,Amare,Male,1330000,Ryder Truck Rental and Leasing,Toyota,Tacoma,Overhead Camshaft,Manual,Black,36000,06457-3834,Hardtop,6139882,Janesville
C_CND_000062,44565,Alexandria,Male,393000,Iceberg Rentals,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,17000,53546-9427,Hatchback,7181009,Janesville
C_CND_000063,44565,Alexis,Male,440000,McKinney Dodge Chrysler Jeep,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000,85257-3102,Hatchback,7936565,Austin
C_CND_000064,44565,Alyssa,Female,280000,Nebo Chevrolet,Audi,A6,DoubleÃ‚Â Overhead Camshaft,Auto,Black,14000,06457-3834,SUV,7419754,Middletown
C_CND_000065,44565,Coline,Male,1151000,Scrivener Performance Engineering,Dodge,Intrepid,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,31100,38701-8047,Sedan,8637804,Greenville
C_CND_000066,44565,Annaelle,Male,1650000,Star Enterprises Inc,Buick,Park Avenue,DoubleÃ‚Â Overhead Camshaft,Auto,Black,61000,99301-3882,Hatchback,8380613,Pasco
C_CND_000067,44565,Anais,Male,13500,Suburban Ford,Dodge,Viper,Overhead Camshaft,Manual,Black,26000,53546-9427,SUV,6595676,Janesville
C_CND_000068,44565,Taylor,Male,895000,Chrysler Plymouth,Toyota,Sienna,Overhead Camshaft,Manual,Black,12000,53546-9427,Passenger,7244029,Aurora
C_CND_000069,44565,Tessa,Female,660000,Classic Chevy,Volvo,S40,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,42000,85257-3102,Sedan,6741165,Greenville
C_CND_000070,44565,Toby,Male,13500,Clay Johnson Auto Sales,Mitsubishi,Diamante,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,21000,78758-7841,Hatchback,8822935,Pasco
C_CND_000071,44566,Heidy,Male,1636000,Nebo Chevrolet,Cadillac,DeVille,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,22600,06457-3834,SUV,8026457,Middletown
C_CND_000072,44566,Helen,Female,1000000,New Castle Ford Lincoln Mercury,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,45000,60504-7114,Passenger,8872334,Aurora
C_CND_000073,44566,Imani,Female,745000,Pars Auto Sales,Mitsubishi,Eclipse,Overhead Camshaft,Manual,Black,25000,38701-8047,SUV,6204993,Greenville
C_CND_000074,44566,Ingrid,Male,300000,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Contour,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,62000,99301-3882,Sedan,7031644,Pasco
C_CND_000075,44566,Irene,Male,1097000,Progressive Shippers Cooperative Association No,Volkswagen,Jetta,DoubleÃ‚Â Overhead Camshaft,Auto,Black,22700,53546-9427,Passenger,7179280,Janesville
C_CND_000076,44566,Iris,Female,542000,Rabun Used Car Sales,Mitsubishi,Montero Sport,DoubleÃ‚Â Overhead Camshaft,Auto,Black,45000,85257-3102,SUV,6245275,Scottsdale
C_CND_000077,44566,Hunter,Male,1200000,Chrysler of Tri-Cities,Lincoln,Town car,Overhead Camshaft,Manual,Black,17000,99301-3882,Hatchback,7072635,Pasco
C_CND_000078,44566,James,Male,490000,Motor Vehicle Branch Office,Ford,Focus,Overhead Camshaft,Manual,Black,49000,78758-7841,Hardtop,6766211,Austin
C_CND_000079,44566,Ilan,Male,410000,Classic Chevy,Audi,A6,Overhead Camshaft,Manual,Black,15000,85257-3102,SUV,8011357,Scottsdale
C_CND_000080,44566,Isaac,Male,930000,Clay Johnson Auto Sales,Acura,TL,DoubleÃ‚Â Overhead Camshaft,Auto,Black,28000,78758-7841,Hatchback,7539127,Austin
C_CND_000081,44566,Aaron,Male,480000,Tri-State Mack Inc,Nissan,Pathfinder,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,46000,85257-3102,Hardtop,6559063,Greenville
C_CND_000082,44566,Israel,Female,1360000,Enterprise Rent A Car,Ford,Mustang,Overhead Camshaft,Manual,Pale White,43000,60504-7114,Hatchback,8082987,Aurora
C_CND_000083,44566,Amara,Male,2200000,New Castle Ford Lincoln Mercury,Oldsmobile,Cutlass,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,41000,60504-7114,Sedan,7328070,Aurora
C_CND_000084,44566,Amaya,Female,1100000,Pars Auto Sales,Chevrolet,Corvette,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,45000,38701-8047,SUV,7078803,Greenville
C_CND_000085,44566,Amelia,Male,13500,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,22001,99301-3882,Hatchback,8636283,Pasco
C_CND_000086,44566,Amia,Male,1700000,Progressive Shippers Cooperative Association No,Volkswagen,Cabrio,Overhead Camshaft,Manual,Pale White,25001,53546-9427,Sedan,7109521,Janesville
C_CND_000087,44566,Amina,Male,1908000,Rabun Used Car Sales,Dodge,Dakota,Overhead Camshaft,Manual,Pale White,12800,85257-3102,Sedan,7305344,Scottsdale
C_CND_000088,44566,Aminata,Male,13500,Race Car Help,Chrysler,300M,DoubleÃ‚Â Overhead Camshaft,Auto,Black,26000,78758-7841,SUV,8941079,Austin
C_CND_000089,44566,Alizee,Male,13500,Tri-State Mack Inc,BMW,328i,DoubleÃ‚Â Overhead Camshaft,Auto,Black,18000,85257-3102,Sedan,6136111,Scottsdale
C_CND_000090,44566,Caroline,Male,2550000,U-Haul CO,Oldsmobile,Bravada,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,19000,78758-7841,Hatchback,8001444,Austin
C_CND_000091,44566,Wadia,Male,1245000,Buddy Storbeck's Diesel Service Inc,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22500,06457-3834,Sedan,7696195,Middletown
C_CND_000092,44566,Mauricio,Male,13500,Race Car Help,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,21001,78758-7841,Hardtop,8188037,Austin
C_CND_000093,44566,Maximilian,Male,1115000,Saab-Belle Dodge,Chrysler,Concorde,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,46500,60504-7114,Hardtop,8351089,Aurora
C_CND_000094,44566,Elisa,Male,13500,Chrysler of Tri-Cities,Chrysler,300M,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,16000,99301-3882,SUV,6130679,Pasco
C_CND_000095,44566,Tzipora,Male,2110000,Diehl Motor CO Inc,Volvo,V70,DoubleÃ‚Â Overhead Camshaft,Auto,Black,39000,06457-3834,Passenger,6260413,Janesville
C_CND_000096,44566,Tziporah,Female,13500,Enterprise Rent A Car,Nissan,Quest,Overhead Camshaft,Manual,Black,19000,60504-7114,SUV,8750989,Scottsdale
C_CND_000097,44566,Tzippy,Male,1050000,Gartner Buick Hyundai Saab,Chrysler,LHS,DoubleÃ‚Â Overhead Camshaft,Auto,Black,26000,38701-8047,Hatchback,6784534,Austin
C_CND_000098,44566,Tzivia,Male,13500,Hatfield Volkswagen,Honda,Accord,Overhead Camshaft,Manual,Black,43000,99301-3882,Sedan,7944735,Janesville
C_CND_000099,44566,Valentina,Female,13500,Iceberg Rentals,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,54000,53546-9427,Sedan,8099375,Scottsdale
C_CND_000100,44566,Valerie,Male,320000,McKinney Dodge Chrysler Jeep,Dodge,Durango,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,22000,85257-3102,SUV,6641303,Austin
C_CND_000101,44567,Isabel,Male,13500,Race Car Help,Lexus,ES300,DoubleÃ‚Â Overhead Camshaft,Auto,Black,16001,78758-7841,SUV,8158584,Austin
C_CND_000102,44567,Isabela,Female,760000,Ryder Truck Rental and Leasing,BMW,328i,DoubleÃ‚Â Overhead Camshaft,Auto,Black,16001,06457-3834,Sedan,7159142,Middletown
C_CND_000103,44567,Ivan,Male,1390000,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,12000,38701-8047,SUV,7495544,Greenville
C_CND_000104,44567,Abel,Male,659000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Black,38000,06457-3834,Hardtop,6682438,Janesville
C_CND_000105,44567,Amira,Male,1330000,Ryder Truck Rental and Leasing,Ford,Explorer,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,42000,06457-3834,Hatchback,7189696,Middletown
C_CND_000106,44567,Amirah,Male,13500,Saab-Belle Dodge,Nissan,Pathfinder,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,21000,60504-7114,Hatchback,8844816,Aurora
C_CND_000107,44567,Mathias,Female,13500,Chrysler Plymouth,Volvo,C70,DoubleÃ‚Â Overhead Camshaft,Auto,Black,49000,53546-9427,Hatchback,8002612,Janesville
C_CND_000108,44567,Noel,Male,1362000,Chrysler of Tri-Cities,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,21200,99301-3882,Hardtop,6633882,Pasco
C_CND_000109,44567,Vanessa,Male,480000,Motor Vehicle Branch Office,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,71000,78758-7841,SUV,8884667,Middletown
C_CND_000110,44567,Vera,Female,365000,Nebo Chevrolet,Chevrolet,Camaro,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,17000,06457-3834,Sedan,6759578,Aurora
C_CND_000111,44570,Isabella,Female,481000,Saab-Belle Dodge,Subaru,Outback,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,57001,60504-7114,SUV,6376331,Aurora
C_CND_000112,44570,Isabelle,Male,700000,Scrivener Performance Engineering,Buick,Park Avenue,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,62001,38701-8047,Hatchback,6729016,Greenville
C_CND_000113,44570,Isis,Male,1350000,Star Enterprises Inc,Ford,Taurus,Overhead Camshaft,Manual,Black,69001,99301-3882,SUV,7270473,Pasco
C_CND_000114,44570,Itzel,Male,750000,Suburban Ford,Chevrolet,Cavalier,Overhead Camshaft,Manual,Pale White,20001,53546-9427,SUV,7281617,Janesville
C_CND_000115,44570,Yadiel,Male,451000,McKinney Dodge Chrysler Jeep,Audi,A4,DoubleÃ‚Â Overhead Camshaft,Auto,Black,27000,85257-3102,Hardtop,7824922,Austin
C_CND_000116,44570,Joseph,Female,650000,U-Haul CO,Ford,Focus,Overhead Camshaft,Manual,Black,49000,78758-7841,Hardtop,8944331,Janesville
C_CND_000117,44570,Jake,Male,700000,Motor Vehicle Branch Office,Mitsubishi,Diamante,Overhead Camshaft,Manual,Black,49000,78758-7841,Hatchback,7757499,Austin
C_CND_000118,44570,James,Female,13500,Nebo Chevrolet,Lexus,GS400,DoubleÃ‚Â Overhead Camshaft,Auto,Black,12000,06457-3834,Hatchback,6586288,Middletown
C_CND_000119,44570,Amiya,Female,1220000,Scrivener Performance Engineering,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,25000,38701-8047,Hatchback,8486170,Greenville
C_CND_000120,44570,Amiyah,Male,1300000,Star Enterprises Inc,Chrysler,Concorde,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,42000,99301-3882,Hatchback,6732905,Pasco
C_CND_000121,44570,Angelina,Male,470000,Suburban Ford,Chrysler,Sebring Coupe,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,19000,53546-9427,Sedan,7212279,Janesville
C_CND_000122,44570,Aniya,Female,1167500,Tri-State Mack Inc,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Pale White,26750,85257-3102,Hatchback,8144887,Scottsdale
C_CND_000123,44570,Benott,Male,3000000,Clay Johnson Auto Sales,Cadillac,Eldorado,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,31000,78758-7841,Passenger,8668755,Austin
C_CND_000124,44570,Lucas,Male,1900000,Diehl Motor CO Inc,Saturn,LW,Overhead Camshaft,Manual,Pale White,49000,06457-3834,Hatchback,8892301,Middletown
C_CND_000125,44570,Clara,Female,1690000,Enterprise Rent A Car,Hyundai,Sonata,Overhead Camshaft,Manual,Black,15000,60504-7114,SUV,6238423,Aurora
C_CND_000126,44570,Clara,Male,2800000,Gartner Buick Hyundai Saab,Mercury,Sable,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,26000,38701-8047,Sedan,7552575,Greenville
C_CND_000127,44570,Alexis,Male,642000,Suburban Ford,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Pale White,17000,53546-9427,Hardtop,6278363,Greenville
C_CND_000128,44570,Veronika,Female,705000,Pars Auto Sales,Volvo,C70,Overhead Camshaft,Manual,Pale White,24000,38701-8047,Hatchback,6323753,Pasco
C_CND_000129,44570,Victoria,Male,670000,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Metro,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,19000,99301-3882,Passenger,8368721,Janesville
C_CND_000130,44570,Violet,Male,13500,Progressive Shippers Cooperative Association No,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,20000,53546-9427,Passenger,6328688,Scottsdale
C_CND_000131,44571,Izabella,Female,1985000,Tri-State Mack Inc,Acura,TL,DoubleÃ‚Â Overhead Camshaft,Auto,Black,28501,85257-3102,Hatchback,6553517,Scottsdale
C_CND_000132,44571,Jason,Male,1275000,New Castle Ford Lincoln Mercury,BMW,323i,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,15500,60504-7114,Hatchback,8070819,Aurora
C_CND_000133,44571,Aniyah,Male,13500,U-Haul CO,Plymouth,Voyager,Overhead Camshaft,Manual,Pale White,20000,78758-7841,Passenger,7541816,Austin
C_CND_000134,44571,Elise,Male,1650000,Hatfield Volkswagen,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,29000,99301-3882,Sedan,8368460,Pasco
C_CND_000135,44571,Vivian,Male,520500,Rabun Used Car Sales,Chrysler,Cirrus,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,12500,85257-3102,Passenger,7578367,Austin
C_CND_000136,44573,Jacqueline,Female,500000,U-Haul CO,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,16001,78758-7841,SUV,6435654,Austin
C_CND_000137,44573,Jada,Male,1172500,Buddy Storbeck's Diesel Service Inc,Lexus,ES300,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,27250,06457-3834,SUV,7906708,Middletown
C_CND_000138,44573,Jade,Male,441000,C & M Motors Inc,Dodge,Intrepid,Overhead Camshaft,Manual,Black,11000,60504-7114,Sedan,6536878,Aurora
C_CND_000139,44573,Jaelynn,Male,1310000,Capitol KIA,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22001,38701-8047,Sedan,6374244,Greenville
C_CND_000140,44573,Jamie,Male,13500,Chrysler of Tri-Cities,Dodge,Avenger,DoubleÃ‚Â Overhead Camshaft,Auto,Pale White,22000,99301-3882,Passenger,6500188,Pasco
C_CND_000141,44573,Janelle,Male,1200000,Chrysler Plymouth,Chevrolet,Corvette,Overhead Camshaft,Manual,Pale White,22000,53546-9427,SUV,8574162,Janesville
C_CND_000142,44573,Jasper,Male,1680000,Pars Auto Sales,Acura,RL,Overhead Camshaft,Manual,Black,18000,38701-8047,SUV,6655590,Greenville
C_CND_000143,44573,Jayden,Male,1340000,Pitre Buick-Pontiac-Gmc of Scottsdale,Honda,Odyssey,Overhead Camshaft,Manual,Pale White,27000,99301-3882,Passenger,6691774,Pasco
C_CND_000144,44573,Jesse,Female,901000,Progressive Shippers Cooperative Association No,Oldsmobile,Intrigue,Overhead Camshaft,Manual,Pale White,25000,53546-9427,SUV,7264601,Janesville
C_CND_000145,44573,Joel,Female,849500,Rabun Used Car Sales,Acura,RL,Overhead Camshaft,Manual,Pale White,26500,85257-3102,SUV,7583887,Scottsdale
C_CND_000146,44573,John,Male,13500,Race Car Help,Ford,Taurus,Overhead Camshaft,Manual,Black,69000,78758-7841,SUV,8687698,Austin
C_CND_000147,44573,Jonah,Female,1071500,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,14150,06457-3834,Sedan,7808972,Middletown
C_CND_000148,44573,Annabelle,Male,1740000,Progressive Shippers Cooperative Association No,Saab,45905,Overhead Camshaft,Manual,Pale White,28000,53546-9427,Hatchback,6099473,Janesville
C_CND_000149,44573,Aria,Male,13500,Rabun Used Car Sales,Honda,Civic,Overhead Camshaft,Manual,Black,43000,85257-3102,Hatchback,8406767,Scottsdale
C_CND_000150,44573,Ariana,Male,1700000,Race Car Help,BMW,528i,Overhead Camshaft,Manual,Pale White,25000,78758-7841,SUV,7946702,Austin
